codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024
2820,Redes de Computadoras 2,Ciencias de la Computacion,No,Si,medio,0.35294117647058826,0.17647058823529413,0.25,6.0,6.0,1,0.6,18.0,17.0
2821,Sistemas de Bases de Datos 2,Desarrollo de Software,Si,Si,medio,0.4,0.3,0.25,4.0,4.0,2,0.55,11.0,10.0
2822,Analisis y Diseño de Sistemas 1,Desarrollo de Software,Si,Si,medio,0.37037037037037035,0.25925925925925924,0.5,4.0,4.0,3,0.55,28.0,27.0
2823,Seminario de Sistemas 1,Desarrollo de Software,No,Si,medio,0.2857142857142857,0.21428571428571427,0.25,4.0,4.0,1,0.5666666666666667,17.0,14.0
2824,Modelacion y Simulacion 1,Metodologia de Sistemas,No,Si,medio,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
2825,Sistemas Organizacionales y Gerenciales 1,Metodologia de Sistemas,No,Si,medio,0.21428571428571427,0.2857142857142857,0.25,3.0,3.0,1,0.75,15.0,14.0
2826,Inteligencia Artificial 1,Ciencias de la Computacion,No,Si,medio,0.23076923076923078,0.3076923076923077,0.25,3.0,3.0,1,0.65,13.0,13.0
2827,Analisis y Diseño de Sistemas 2,Desarrollo de Software,Si,Si,medio,0.2727272727272727,0.45454545454545453,0.25,3.0,3.0,3,0.65,13.0,11.0
2828,Seminario de Sistemas 2,Desarrollo de Software,No,Si,medio,0.4,0.0,0.25,2.0,2.0,1,0.35,7.0,7.0
2829,Practica Final,EPS,No,No,bajo,0.3333333333333333,0.13333333333333333,0.5,5.0,0.0,0,0.375,15.0,15.0
