codigo_curso,periodo_academico,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,cupo_ofertado_oferta,tasa_ocupacion_cupo,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,necesito_recuperacion,perdida_definitiva,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,68.0,45,0.8888888888888888,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,54.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,49.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,53.0,20,0.7,False,False,True,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,39.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,42.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,55.0,20,0.7,False,False,True,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,37.0,20,0.7,False,False,False,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,67.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,46.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,36.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2023,45.0,20,0.7,False,False,True,True,False,True
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,58.0,20,0.7,False,False,False,False,False,False
085,S1,4,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,0,bajo,2022,53.0,20,0.7,False,False,True,True,False,True
094,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,1,medio,2022,65.0,20,0.3,True,True,False,False,False,False
094,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,1,medio,2022,54.0,20,0.3,True,True,False,True,False,False
094,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,1,medio,2022,45.0,20,0.3,True,True,False,False,False,False
094,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,1,medio,2021,68.0,20,0.3,True,True,False,False,False,False
094,S1,5,Ciencias Basicas y Complementarias,teorico,No,bajo,No,No,1,medio,2022,53.0,20,0.3,True,True,True,True,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,54.0,20,0.65,False,False,True,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,36.0,20,0.65,False,False,True,True,False,True
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,45.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,63.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,33.0,20,0.65,False,False,True,True,False,True
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,51.0,20,0.65,False,False,True,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,57.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,54.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,52.0,20,0.65,False,False,True,True,False,True
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,59.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,67.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,60.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,57.0,20,0.65,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,35.0,20,0.15,False,False,True,True,False,True
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,50.0,20,0.15,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,38.0,20,0.15,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,54.0,20,0.45,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,37.0,20,0.45,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,51.0,20,0.45,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,50.0,20,0.45,False,False,True,True,False,True
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,45.0,20,0.45,False,False,True,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,59.0,20,0.45,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,54.0,20,0.45,False,False,False,False,False,False
119,S1,1,Ciencias Basicas y Complementarias,teorico,No,bajo,Si,No,0,bajo,2024,64.0,20,0.45,False,False,False,False,False,False
