estudiante_id_ofuscado,codigo_curso,nombre_curso,periodo_academico,orden_periodo,seccion,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,componente_practico,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,cohorte_ingreso,zona_ordinaria,nota_examen_ordinario,nota_total_ordinario,resultado_ordinario,tiene_ordinario,tiene_primera_recuperacion,tiene_segunda_recuperacion,tiene_equivalencia,tiene_nsp,nota_total_final,resultado_final,tiene_resultado_final,aprobo_ordinario,necesito_recuperacion,aprobo_por_recuperacion,perdida_definitiva,perdida_definitiva_sin_nsp,estado_asignacion,es_desasignado,fecha_asignacion,fecha_desasignacion,cupo_ofertado_oferta,estudiantes_asignados_oferta,estudiantes_con_nota_oferta,tasa_ocupacion_cupo,curso_aperturado,curso_cancelado,jornada,horario,modalidad,curso_abierto_periodo_siguiente,curso_abierto_siguiente_periodo,periodo_siguiente_cronologico,curso_abierto_en_periodo_posterior_2024,periodo_posterior_disponible_2024,espera_minima_periodos_2024,sin_oferta_posterior_2024,riesgo_retraso_simple,riesgo_retraso_curricular,riesgo_retraso_potencial,riesgo_retraso_potencial_amplio
d2f58abe-3bd7-5f07-9c7e-3a449807463d,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,41.0,26.0,67.0,Aprobado,True,False,False,False,False,67.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-26,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
da0c1c2d-eae2-57b8-b466-96a10f60d443,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,43.0,16.0,59.0,Reprobado,True,True,False,False,False,59.0,Reprobado,True,False,True,False,True,True,con nota,False,2024-01-17,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,True,True,True,True
dc7a4a7d-204c-510b-8a49-6ce8ff399651,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,42.0,28.0,70.0,Aprobado,True,False,False,False,False,70.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-15,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
df0bf56a-77fe-508c-a55e-34d29c2f924e,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,,,,,False,False,False,False,False,,,False,False,False,False,False,False,desasignado,True,2024-01-28,2024-03-20,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
f52fddd3-e36f-5a82-a378-727e37fe4596,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,51.0,23.0,74.0,Aprobado,True,False,False,False,False,74.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-24,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
fc57b469-8570-5031-b6b6-027ecfb0f9a7,072,Fisica Basica,S1,1,A,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,63.0,2.0,65.0,Aprobado,True,False,False,False,False,65.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-29,,30,16,15,0.5333333333333333,Si,No,vespertina,14:30-15:20,presencial,False,False,V1,True,S2,2,False,False,False,False,False
0045968e-85a2-5b82-bc32-83b532db55cd,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,53.0,15.0,68.0,Aprobado,True,False,False,False,False,68.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-19,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
00a20d4b-9043-50fd-9656-3d18b3d769d1,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,47.0,16.0,63.0,Aprobado,True,False,False,False,False,63.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-15,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
01bab3f1-2982-57c8-8f29-8cf445b6214e,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,51.0,24.0,75.0,Aprobado,True,False,False,False,False,75.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-22,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
0982685f-f12c-5cbc-87fb-2af443788fef,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,49.0,15.0,64.0,Aprobado,True,False,False,False,False,64.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-21,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
11b3b6a5-c3f8-5413-a4d3-bf4c2dee1df7,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,45.0,28.0,73.0,Aprobado,True,False,False,False,False,73.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-28,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
13b9c86d-9619-5631-94db-1fa1670bd20b,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,56.0,28.0,84.0,Aprobado,True,False,False,False,False,84.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-30,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
270a0504-64d3-5ff7-bda8-d02793ef8a81,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,56.0,30.0,86.0,Aprobado,True,False,False,False,False,86.0,Aprobado,True,True,False,False,False,False,con nota,False,2024-01-22,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
27211edc-1649-54b6-b315-76064d324463,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,37.0,9.0,46.0,Reprobado,True,True,False,False,False,67.0,Aprobado,True,False,True,True,False,False,con nota,False,2024-01-23,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
2a26e298-c5dc-52aa-94db-7ad1d63e65cb,072,Fisica Basica,S1,1,C,2,Ciencias Basicas y Complementarias,teorico,Si,bajo,Si,No,Si,1,medio,2024,39.0,19.0,58.0,Reprobado,True,True,True,False,False,66.0,Aprobado,True,False,True,True,False,False,con nota,False,2024-01-16,,45,38,37,0.8444444444444444,Si,No,vespertina,17:50-18:40,presencial,False,False,V1,True,S2,2,False,False,False,False,False
