estudiante_id_ofuscado,anio_academico,periodo_inscripcion,codigo_carrera,nombre_carrera,pensum,cohorte_ingreso
57c900ea-044e-526b-8dfc-e81fb71402b9,2024,S1,58,Ciencias y Sistemas,2016-58,2020
5cfb66d3-10c8-5710-97b6-8bd25d49adff,2024,S1,58,Ciencias y Sistemas,2016-58,2020
71a9076e-98e5-5381-a6bb-d621499edc32,2024,S1,58,Ciencias y Sistemas,2016-58,2020
78985e7d-ee45-54ea-9fa9-bfacc2ee4797,2024,S1,58,Ciencias y Sistemas,2016-58,2020
78b7c5d8-ef57-529f-a111-388b34c7c35a,2024,S1,58,Ciencias y Sistemas,2016-58,2020
7c71294e-9c0e-514d-956c-b61c03ce0722,2024,S1,58,Ciencias y Sistemas,2016-58,2020
81499fda-b7ee-5fa7-9cda-b64ee9dfbab2,2024,S1,58,Ciencias y Sistemas,2016-58,2020
835b66d3-72cd-5867-b7d3-2de662ae3c02,2024,S1,58,Ciencias y Sistemas,2016-58,2020
8bc617b7-d1c6-5083-a14d-f3fb4bc50494,2024,S1,58,Ciencias y Sistemas,2016-58,2020
919d68f1-d0c5-56f4-b3e2-27936f50a241,2024,S1,58,Ciencias y Sistemas,2016-58,2020
941b6cb8-df72-5875-8525-f33fdae7c13d,2024,S1,58,Ciencias y Sistemas,2016-58,2020
98bd6a13-8add-5575-9388-3bae6a5ba51c,2024,S1,58,Ciencias y Sistemas,2016-58,2020
9b342f29-299c-53e8-abab-d0ddb5c51d18,2024,S1,58,Ciencias y Sistemas,2016-58,2020
9fb68156-bea9-5d9c-9ac8-4c74978e183e,2024,S1,58,Ciencias y Sistemas,2016-58,2020
aee6cbf2-05c4-5fd5-abf4-53aaee161048,2024,S1,58,Ciencias y Sistemas,2016-58,2020
af235c0f-fa51-564a-a139-98be54af9391,2024,S1,58,Ciencias y Sistemas,2016-58,2020
b61e89b6-2037-59df-8c60-9b45ea924c36,2024,S1,58,Ciencias y Sistemas,2016-58,2020
be4cc3ed-a3b2-5e94-bdab-cb425a63135a,2024,S1,58,Ciencias y Sistemas,2016-58,2020
c5b1ebc7-fe00-5c45-907f-133c48cc8f5e,2024,S1,58,Ciencias y Sistemas,2016-58,2020
c8b29424-3564-5114-8e8b-3ec7edb4631a,2024,S1,58,Ciencias y Sistemas,2016-58,2020
ca1fd280-c70c-5620-9699-ff3834093054,2024,S1,58,Ciencias y Sistemas,2016-58,2020
cafd50f0-00ad-5b43-9ecf-2e3a99da0a42,2024,S1,58,Ciencias y Sistemas,2016-58,2020
ccca9a76-953a-5d63-92e5-d3c2a20b74fe,2024,S1,58,Ciencias y Sistemas,2016-58,2020
d2e328c9-2152-5877-9404-46f05cc67380,2024,S1,58,Ciencias y Sistemas,2016-58,2020
d5f413f0-ef8a-5db4-a19c-e3328916256f,2024,S1,58,Ciencias y Sistemas,2016-58,2020
d6902138-e879-559c-a8d3-c35d938de895,2024,S1,58,Ciencias y Sistemas,2016-58,2020
d7395947-e212-57b3-b38d-2b95377e01fa,2024,S1,58,Ciencias y Sistemas,2016-58,2020
daf73f99-71e0-58f9-a2a2-4565580f75b4,2024,S1,58,Ciencias y Sistemas,2016-58,2020
e18004d8-6b4d-5f85-b563-a44d5c21c39d,2024,S1,58,Ciencias y Sistemas,2016-58,2020
e6616dee-223f-521e-9148-18ea6494d738,2024,S1,58,Ciencias y Sistemas,2016-58,2020
e66bc480-92fe-5315-9420-3c1a234179ac,2024,S1,58,Ciencias y Sistemas,2016-58,2020
e81dc01b-99fa-5afe-96c2-e6f0e7a8f50d,2024,S1,58,Ciencias y Sistemas,2016-58,2020
f0dd015e-2ffc-5cb0-8a06-36638e2cc9bf,2024,S1,58,Ciencias y Sistemas,2016-58,2020
f165b21b-a360-52d6-a848-f2b84f7a3202,2024,S1,58,Ciencias y Sistemas,2016-58,2020
