codigo_curso,nombre_curso,semestre_pensum,area_academica,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,abierto_S1,abierto_V1,abierto_S2,abierto_V2,cantidad_periodos_abierto,indice_continuidad_oferta,patron_oferta,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024,total_perdida_definitiva_2024,total_recuperacion_2024,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,tasa_ocupacion_promedio_2024,grupo_area,curso_etiqueta
2805,Estructura de Datos,5,Desarrollo de Software,Si,Si,3,medio,True,False,False,False,1,0.25,oferta_unica,19.0,18.0,7.0,4.0,0.3888888888888889,0.2222222222222222,7.0,7.0,0.6333333333333333,Area profesional,2805 - Estructura de Datos
2811,Arquitectura de Computadores y Ensambladores 1,6,Ciencias de la Computacion,Si,Si,5,alto,False,False,True,False,1,0.25,oferta_unica,24.0,24.0,7.0,7.0,0.2916666666666667,0.2916666666666667,7.0,7.0,0.8,Area profesional,2811 - Arquitectura de Computadores y Ensambladores 1
2813,Teoria de Sistemas 2,7,Metodologia de Sistemas,Si,Si,4,alto,True,False,False,False,1,0.25,oferta_unica,28.0,26.0,7.0,7.0,0.2692307692307692,0.2692307692307692,7.0,7.0,0.6222222222222222,Area profesional,2813 - Teoria de Sistemas 2
2812,Manejo e Implementacion de Archivos,6,Desarrollo de Software,Si,Si,3,medio,False,False,True,False,1,0.25,oferta_unica,22.0,18.0,6.0,4.0,0.3333333333333333,0.2222222222222222,6.0,6.0,0.7333333333333333,Area profesional,2812 - Manejo e Implementacion de Archivos
2820,Redes de Computadoras 2,8,Ciencias de la Computacion,No,Si,1,medio,False,False,True,False,1,0.25,oferta_unica,18.0,17.0,6.0,3.0,0.3529411764705882,0.1764705882352941,6.0,6.0,0.6,Area profesional,2820 - Redes de Computadoras 2
2807,Practica Inicial TI,5,EPS,Si,Si,2,medio,True,False,False,False,1,0.25,oferta_unica,22.0,19.0,5.0,4.0,0.2631578947368421,0.2105263157894736,5.0,5.0,0.7333333333333333,Area profesional,2807 - Practica Inicial TI
795,Investigacion de Operaciones 2,7,Metodologia de Sistemas,No,Si,1,medio,True,False,True,False,2,0.5,oferta_semestral,24.0,22.0,5.0,4.0,0.2272727272727272,0.1818181818181818,5.0,5.0,0.6,Area profesional,795 - Investigacion de Operaciones 2
2822,Analisis y Diseño de Sistemas 1,8,Desarrollo de Software,Si,Si,3,medio,False,False,True,True,2,0.5,oferta_mixta,28.0,27.0,10.0,7.0,0.3703703703703703,0.2592592592592592,4.0,4.0,0.55,Area profesional,2822 - Analisis y Diseño de Sistemas 1
2808,Teoria de Sistemas 1,6,Metodologia de Sistemas,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,20.0,17.0,4.0,4.0,0.2352941176470588,0.2352941176470588,4.0,4.0,0.6666666666666666,Area profesional,2808 - Teoria de Sistemas 1
2821,Sistemas de Bases de Datos 2,8,Desarrollo de Software,Si,Si,2,medio,False,False,True,False,1,0.25,oferta_unica,11.0,10.0,4.0,3.0,0.4,0.3,4.0,4.0,0.55,Area profesional,2821 - Sistemas de Bases de Datos 2
