antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
no_abierto_siguiente + semestre_7,periodo_s1,2,1,0.061628760088041086,0.8195121951219513,1.7958120931691632,0.0752017608217168,0.45634629493763756,0.027310715164264233,False
semestre_7,periodo_s1,1,1,0.061628760088041086,0.7999999999999999,1.753054662379421,0.07703595011005136,0.45634629493763756,0.02647368967831845,False
area_ciencias_basicas_y_complementarias + ocupacion_baja,curso_no_base,2,1,0.1346294937637564,0.6624548736462093,1.7431003721617437,0.20322817314746883,0.38004402054292,0.057393841753199656,False
bloqueo_medio + semestre_1,abierto_siguiente,2,1,0.0851063829787234,0.6783625730994152,1.729856290242288,0.12545854732208364,0.3921496698459281,0.03590785506701856,False
bloqueo_medio + semestre_4,abierto_siguiente,2,1,0.07593543653705062,0.676470588235294,1.7250316403455674,0.11225238444607484,0.3921496698459281,0.03191570103710418,False
bloqueo_alto + ocupacion_media,abierto_siguiente,2,1,0.12032281731474688,0.6748971193415638,1.721019221071191,0.17828319882611884,0.3921496698459281,0.050409119756008425,False
ocupacion_baja + periodo_s2,curso_no_base,2,1,0.07887013939838591,0.6534954407294833,1.7195256480970766,0.1206896551724138,0.38004402054292,0.03300275760872315,False
ocupacion_media + semestre_3,abierto_siguiente,2,1,0.08584005869405723,0.6666666666666666,1.7000311817898348,0.12876008804108585,0.3921496698459281,0.03534683267941278,False
ocupacion_baja + sin_riesgo_retraso,curso_no_base,2,1,0.15810711665443875,0.6423248882265277,1.6901328622640102,0.24614820249449743,0.38004402054292,0.06455996412901713,False
aprobo + ocupacion_baja,curso_no_base,2,1,0.12509170946441672,0.6397748592870544,1.6834230370815735,0.19552457813646368,0.38004402054292,0.05078376267447675,False
ocupacion_baja,curso_no_base,1,1,0.18121790168745414,0.6390685640362225,1.6815645806590178,0.2835656639765224,0.38004402054292,0.0734504666618939,False
area_ciencias_basicas_y_complementarias + ocupacion_media,abierto_siguiente,2,1,0.2776962582538518,0.6588337684943429,1.6800569250847324,0.421496698459281,0.3921496698459281,0.11240646711189606,False
ocupacion_baja + zona_media,curso_no_base,2,1,0.09684519442406456,0.6376811594202898,1.6779139387835038,0.15187087307410124,0.38004402054292,0.03912757721761963,False
ocupacion_baja + perdio,curso_no_base,2,1,0.05612619222303742,0.6375000000000001,1.6774372586872588,0.0880410858400587,0.38004402054292,0.022666703987417165,False
ocupacion_baja + sin_recuperacion,curso_no_base,2,1,0.1471019809244314,0.6365079365079366,1.6748268676840108,0.23110785033015407,0.38004402054292,0.059270824305928255,False
area_ciencias_basicas_y_complementarias + requiere_laboratorio,bloqueo_medio,2,1,0.1346294937637564,1.0,1.6693202694427434,0.1346294937637564,0.599046221570066,0.05398020421268736,False
curso_base + semestre_1,bloqueo_medio,2,1,0.09574468085106383,1.0,1.6693202694427434,0.09574468085106383,0.599046221570066,0.03838919155180219,False
abierto_siguiente + semestre_1,bloqueo_medio,2,1,0.0851063829787234,1.0,1.6693202694427434,0.0851063829787234,0.599046221570066,0.03412372582382417,False
abierto_siguiente + requiere_laboratorio,bloqueo_medio,2,1,0.06823184152604549,1.0,1.6693202694427434,0.06823184152604549,0.599046221570066,0.027357814669100408,False
curso_no_base + riesgo_retraso,bloqueo_medio,2,1,0.05282465150403522,1.0,1.6693202694427434,0.05282465150403522,0.599046221570066,0.021180243614787417,False
area_ciencias_basicas_y_complementarias + semestre_4,abierto_siguiente,2,1,0.07593543653705062,0.646875,1.649561506080449,0.11738811445341159,0.3921496698459281,0.029901726210309246,False
no_requiere_laboratorio + semestre_1,abierto_siguiente,2,1,0.0851063829787234,0.6391184573002755,1.6297819594018252,0.13316214233308876,0.3921496698459281,0.03288689282682616,False
area_ciencias_basicas_y_complementarias + sin_riesgo_retraso,abierto_siguiente,2,1,0.3631694790902421,0.6374758531873793,1.6255932420849355,0.5696991929567131,0.3921496698459281,0.1397621286607754,False
area_ciencias_basicas_y_complementarias + curso_obligatorio,abierto_siguiente,2,1,0.32831988261188555,0.6370106761565836,1.6244070188988278,0.5154071900220103,0.3921496698459281,0.1262031232085367,False
curso_base + sin_riesgo_retraso,abierto_siguiente,2,1,0.330520909757887,0.6331693605059733,1.6146114843211257,0.5220102714600147,0.3921496698459281,0.12581475414865895,False
bloqueo_alto,curso_base,1,1,0.2505502567865004,1.0,1.61301775147929,0.2505502567865004,0.6199559794570799,0.09522012693720266,False
bloqueo_alto + curso_obligatorio,curso_base,2,1,0.2505502567865004,1.0,1.61301775147929,0.2505502567865004,0.6199559794570799,0.09522012693720266,False
bloqueo_alto + sin_riesgo_retraso,curso_base,2,1,0.20616287600880412,1.0,1.61301775147929,0.20616287600880412,0.6199559794570799,0.07835096828507743,False
bloqueo_alto + sin_recuperacion,curso_base,2,1,0.19075568598679385,1.0,1.61301775147929,0.19075568598679385,0.6199559794570799,0.0724955578438439,False
bloqueo_alto + ocupacion_media,curso_base,2,1,0.17828319882611884,1.0,1.61301775147929,0.17828319882611884,0.6199559794570799,0.06775546367713102,False
bloqueo_alto + no_requiere_laboratorio,curso_base,2,1,0.1731474688187821,1.0,1.61301775147929,0.1731474688187821,0.6199559794570799,0.06580366019671983,False
aprobo + bloqueo_alto,curso_base,2,1,0.16874541452677916,1.0,1.61301775147929,0.16874541452677916,0.6199559794570799,0.06413068578493883,False
